id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
00ach0530m,"McGuffey's new sixth eclectic reader: exercises in rhetorical reading, with introductory rules and examples","Sixth eclectic reader. 1857 (Sargent, Wilson & Hinkle)",New sixth eclectic reader,"McGuffey, William Holmes, 1800-1873",,Cincinnati|||New York,"Sargent, Wilson & Hinkle|||Clark & Maynard",,1857,c1857|||1857|||1857-01-01T00:00:00,,Stereotype ed.,monographic,English,text,print,448 p. ; 19 cm.,,,Readers|||Recitations,,,,439595,,,,,University of Pittsburgh,collection.120
00ach1121m,McGuffey's sixth eclectic reader,"Sixth eclectic reader. 1879 (Van Antwerp, Bragg & Co.)",,"McGuffey, William Holmes, 1800-1973",,Cincinnati,"Van Antwerp, Bragg & Co.",,1879,c1879|||1879|||1879-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,"464 p., [8] leaves of plates : ill. ; 19 cm.",,,Readers|||Recitations,,,,440149,,,,,University of Pittsburgh,collection.120
00ach1127m,"Osgood's progressive fifth reader: embracing a system of instruction in the principles of elocution, and selections for reading and speaking from the best English and American authors : designed for the use of academies and the highest classes in public and private schools",Progressive fifth reader. 1858,,"Osgood, Lucius.",,Pittsburgh,A.H. English & Co.,,1858,c1858|||1858|||1858-01-01T00:00:00,,,monographic,English,text,print,480 p. ; 20 cm.,,,Readers (Elementary)|||Recitations,1800-1870,,,440155,,,,,University of Pittsburgh,
00ach2219m,"English reader, or Pieces in prose and poetry: selected from the best writers : designed to assist young persons to read with propriety and effect, to improve their language and sentiments, and to inculcate some of the most important principles of piety and virtue : with a few preliminary observations on the principles of good reading, The",,Pieces in prose and poetry,"Murray, Lindley, 1745-1826",,Utica,Printed by Hastings & Tracy,,1827,1827|||1827-01-01T00:00:00,,,monographic,English,text,print,263 p. ; 18 cm.,,,Readers,,,,440948,,,,,University of Pittsburgh,collection.120
00ach2273m,Osgood's American third reader: for schools and families,American third reader. 1871,,"Osgood, Lucius.",,Pittsburgh,A.H. English & Co.,,1871,c1871|||1871|||1871-01-01T00:00:00,,,monographic,English,text,print,192 p. : ill. ; 20 cm.,,,Readers (Elementary)|||Recitations,1870-1950,,,441000,,,,,University of Pittsburgh,collection.120
00ach2276m,Osgood's American primer: introductory to the American readers,American primer. 1870,,"Osgood, Lucius.",,Pittsburgh,H.I. Gourley,,1870,c1870|||1870|||1870-01-01T00:00:00,,,monographic,English,text,print,48 p. : ill. ; 19 cm.,,,Readers (Primary),1870-1950,,,441003,,,,,University of Pittsburgh,collection.120
00ach2301m,"McGuffey's new high school reader: for advanced classes, embracing about two hundred classic exercises",High school reader. 1857,New high school reader,"McGuffey, William Holmes, 1800-1873",,Cincinnati|||New York,"Wilson, Hinkle & Co.",,1857,c1857|||1857|||1857-01-01T00:00:00,,Stereotype ed.,monographic,English,text,print,480 p. ; 19 cm.,,,Readers (Secondary),1800-1870,,,441028,,,,,University of Pittsburgh,collection.120
00ach2352m,"Sanders' high school reader: embracing a comprehensive course of instruction in the principles of rhetorical reading : with a choice collection of exercises in reading, both in prose and poetry, for the use of the higher classes in schools of every grade",High school reader. 1862,,"Sanders, Charles W. (Charles Walton), 1805-1889",,New York,"Ivison, Phinney & Co.",,1862/1856,"1862|||1856|||1862, c1856|||ca. 1862-1856|||1862-01-01T00:00:00",,,monographic,English,text,print,528 p. ; 20 cm.,,,Readers (Secondary),1800-1870,,,441079,,,,,University of Pittsburgh,collection.120
00ach2356m,Sanders' union pictorial primer: introductory to the Union readers,Pictorial primer. 1866,Union pictorial primer,"Sanders, Charles W. (Charles Walton), 1805-1889",,New York,"Ivison, Blakeman, Taylor, and Company",,1866,"1880, c1866|||1866|||1866-01-01T00:00:00",,,monographic,English,text,print,48 p. : ill. ; 18 cm.,,,Readers (Primary),1800-1870,,,441083,,,,,University of Pittsburgh,collection.120
00ach2366m,"school reader: containing easy progressive lessons in reading and spelling, The",,,"Sanders, Charles W. (Charles Walton), 1805-1889",,New York,"Ivison, Phinney, Blakeman & Co.",,1858,c1858|||1858|||1858-01-01T00:00:00,,,monographic,English,text,print,"120 p. : ill., music ; 17 cm.",,,Readers (Elementary)|||Spellers,1800-1870,,,441093,,,,,University of Pittsburgh,collection.120
00ach2389m,"new Franklin primer and first reader, The",,,"Campbell, Loomis J. (Loomis Joseph), 1831-1896",,New York,Sheldon & Company,,1885,c1885|||1885|||1885-01-01T00:00:00,,,monographic,English,text,print,112 p. : ill. ; 19 cm.,,,Readers (Primary),1870-1950,,juvenile,441116,,,,,University of Pittsburgh,collection.120
00ach7649m,"analytical reader: containing lessons in simultaneous reading & defining, with spelling from the same : to which are added, questions, and references to an appendix, containing sketches of characters, persons and places alluded to in the work, The",,,"Putnam, Samuel, of Portsmouth, N.H",,"Dover, N.H",Samuel C. Stevens,,1828/1826,"1828|||1826|||1828, c1826|||ca. 1828-1826|||1828-01-01T00:00:00",,4th ed.,monographic,English,text,print,156 p. ; 17 cm.,,,Readers,,,juvenile,445675,,,,,University of Pittsburgh,collection.120
00ach7819m,"Town's new speller and definer: containing a new and complete key to pronunciation : an introduction to the ""Analysis of derivative words in the English language"", dictation exercises, and various other improvements",New speller and definer. 1870,,"Town, Salem, 1779-1864",,New York,"Oakley, Mason & Co.",,1870/1865,"1870|||1865|||1870, c1865|||ca. 1870-1865|||1870-01-01T00:00:00",,Rev. ed.,monographic,English,text,print,168 p. ; 18 cm.,,,Spellers,,,,445738,,,,,University of Pittsburgh,collection.120
00ach7836m,"standard speaker: containing exercises in prose and poetry for declamation in schools, academies, lyceums, colleges, newly translated or compiled from celebrated orators, authors, and popular debaters, ancient and modern, a treatise on oratory and elocution, notes explanatory and biographical, The",,,"Sargent, Epes, 1813-1880",,Philadelphia,Charles Desilver,,1861/1852,"1861|||1852|||1861, c1852|||ca. 1861-1852|||1861-01-01T00:00:00",,11th ed.,monographic,English,text,print,558 p. ; 21 cm.,,,Recitations|||Readers|||Elocution,,,,445755,,,,,University of Pittsburgh,collection.120
00ach7867m,"Analytical fourth reader: containing practical directions for reading, a thorough method of thought-analysis, a critical phonic analysis of English words, and a large number of new and valuable selections in readings",,,"Edwards, Richard, 1822-1908",,New York|||Chicago,Taintor & Co.|||Geo. & C.W. Sherwood,,1867,c1867|||1867|||1867-01-01T00:00:00,,,monographic,English,text,print,264 p. : ill. ; 20 cm.,,,Readers (Elementary),,,,445786,,,,,University of Pittsburgh,collection.120
00ach7916m,"progressive pictorial primer: the engravings from original designs, The",,,"Town, Salem, 1779-1864","Holbrook, Nelson M.",Boston,Oliver & Ellsworth,,1857,c1857|||1857|||1857-01-01T00:00:00,,,monographic,English,text,print,64 p. : ill. ; 18 cm.,,,Readers (Primary),1800-1870,,,445831,,,,,University of Pittsburgh,collection.120
00ach7935m,Cyr's fifth reader,Fifth reader. 1899,,"Cyr, Ellen M., d. 1920",,Boston,Ginn & Company,,1899,1899|||1899-01-01T00:00:00,,,monographic,English,text,print,"xiv, 433 p. : ill. ; 19 cm.",,,Readers,,,,445847,,,,,University of Pittsburgh,collection.120
00acj3075m,"ladies' reader: designed for the use of schools and family reading circles : comprising choice selections from standard authors, in prose and poetry, with the essential rules of elocution, simplified and arranged for strictly practical use, The",,,"Hows, John W. S. (John William Stanhope), 1797-1871",,Philadelphia,E.H. Butler & Co.,,1864/1859,"1864|||1859|||1864, c1859|||ca. 1864-1859|||1864-01-01T00:00:00",,,monographic,English,text,print,425 p. ; 19 cm.,,,Readers,,,,450681,,,,,University of Pittsburgh,collection.120
00acj3369m,"American class book, or, A collection of instructive reading lessons: adapted to the use of schools : selected from Blair's class book, etc, The",,A collection of instructive reading lessons,"Kimber, Thomas, fl. 1815",,Philadelphia,Kimber & Richardson,,1812,1812|||1812-01-01T00:00:00,,,monographic,English,text,print,347 p. ; 19 cm.,,,Readers,,,,450967,,,,,University of Pittsburgh,collection.120
00acj3379m,"New England primer: a reprint of the earliest known edition, with many facsimiles and reproductions, and an historical introduction, The",,,,"Ford, Paul Leicester, 1865-1902",New York,"Dodd, Mead and Company",,1899,1899|||1899-01-01T00:00:00,,,monographic,English,text,print,"113 p., [18] leaves of plates, [90] p. : ill. ; 19 cm.",,,Readers (Primary)|||Printing|||History,,United States,,450977,,,,,University of Pittsburgh,collection.120
00acj4231m,Pollard's synthetic third reader,Synthetic third reader. 1892,,"Pollard, Rebecca S. (Rebecca Smith), 1831-1917",,Chicago,Western Publishing House,,1892/1890,"1892|||1890|||1892, c1890|||ca. 1892-1890|||1892-01-01T00:00:00",,,monographic,English,text,print,320 p. : ill. ; 19 cm.,,,Readers (Elementary),1870-1950,,,451792,,,,,University of Pittsburgh,collection.120
00acj4389m,"Hemans reader for female schools: containing extracts in prose and poetry, The",,The Hemans young ladies' reader,"Pinneo, T. S. (Timothy Stone), 1804-1893",,New York|||Cincinnati,"Clark, Austin, & Smith|||W.B. Smith & Co.",,1847,c1847|||1847|||1847-01-01T00:00:00,,,monographic,English,text,print,480 p. ; 19 cm.,,,Readers (Secondary),1800-1870,,,451927,,,,,University of Pittsburgh,collection.120
00acj4720m,"institute reader and normal class-book: for the use of teachers' institutes and normal schools, and for self-training in the art of reading, The",,,"Cole, William H., fl. 1870-1898",,Cincinnati,"Van Antwerp, Bragg & Co.",,1870,c1870|||1870|||1870-01-01T00:00:00,,,monographic,English,text,print,360 p. : ill. ; 20 cm.,,,Readers,,,,452190,,,,,University of Pittsburgh,collection.120
00acj4738m,McGuffey's new fourth eclectic reader: instructive lessons for the young,"Fourth eclectic reader. 1866 (Cincinnati, Philadelphia, New Orleans, New York)",New fourth eclectic reader,"McGuffey, William Holmes, 1800-1873",,Cincinnati|||Philadelphia|||New Orleans|||New York,"Wilson, Hinkle & Co.|||Claxton, Remsen & Haffelfinger|||Stevens & Seymour|||Clark & Maynard",,1866,c1866|||1866|||1866-01-01T00:00:00,,Enl. ed.,monographic,English,text,print,242 p. : ill. ; 19 cm.,,,Readers (Elementary),1800-1870,,,452208,,,,,University of Pittsburgh,collection.120
00acj4739m,"American speaker: containing numerous rules, observations, and exercises on pronunciation, pauses, inflections, accent, and emphasis : also, copious extracts in prose and poetry, calculated to assist the teacher, and to improve the pupil in reading and recitation, The",,,"Frost, John, 1800-1859",,Philadelphia,"Thomas, Cowperthwait, & Co.",,1845/1836,"1845|||1836|||1845, c1836|||ca. 1845-1836|||1845-01-01T00:00:00",,,monographic,English,text,print,448 p. ; 20 cm.,,,Recitations|||Elocution,,,,452209,,,,,University of Pittsburgh,collection.120
00acj4830m,"Southern pictorial third reader: for schools and families, The",,,"Holmes, George F. (George Frederick), 1820-1897",,New York,Richardson & Co.,,1866,c1866|||1866|||1866-01-01T00:00:00,,,monographic,English,text,print,168 p. : ill. ; 19 cm.,,,Readers (Elementary),1800-1870,,,452300,,,,,University of Pittsburgh,collection.120
00acj4849m,"girl's reading-book: in prose and poetry, for schools, The",,,"Sigourney, L. H. (Lydia Howard), 1791-1865",,New York,J. Orville Taylor,,1839/1837,"1839|||1837|||1839, c1837|||ca. 1839-1837|||1839-01-01T00:00:00",,,monographic,English,text,print,274 p. ; 19 cm.,,,Readers (Elementary),1800-1870,,,452319,,,,,University of Pittsburgh,collection.120
00acj4850m,"girl's reading-book: in prose and poetry, for schools, The",,,"Sigourney, L. H. (Lydia Howard), 1791-1865",,New York,J. Orville Taylor,,1838/1837,"1838|||1837|||1838, c1837|||ca. 1838-1837|||1838-01-01T00:00:00",,5th ed.,monographic,English,text,print,243 p. ; 16 cm.,,,Readers (Elementary),1800-1870,,,452320,,,,,University of Pittsburgh,collection.120
00acj8742m,Word-primer: a beginner's book in oral and written spelling,,,"Swinton, William, 1833-1892",,New York,"Ivison, Blakeman, Taylor & Co.",,1873,c1873|||1873|||1873-01-01T00:00:00,,,monographic,English,text,print,96 p. ; 17 cm.,,,Spellers,,,juvenile,455789,,ca 17003171,,,University of Pittsburgh,collection.120
00ack2664m,Osgood's American primary speller,American primary speller. 1873 (A.H. English & Co.),,"Osgood, Lucius.",,Pittsburgh,A.H. English & Co.,,1873,c1873|||1873|||1873-01-01T00:00:00,,,monographic,English,text,print,96 p. : ill. ; 19 cm.,,,Spellers,,,,459433,,ca 17003288,,,University of Pittsburgh,collection.120
00ack2675m,Byerly's new American spelling-book: calculated for the use of schools in the United States,New American spelling book. 1820,,"Byerly, Stephen.",,Philadelphia,M'Carty & Davis,,1820,1820|||1820-01-01T00:00:00,,,monographic,English,text,print,155 p. : ill. ; 17 cm.,,,Spellers,,,,459444,,,,,University of Pittsburgh,collection.120
00ack2687m,Osgood's progressive speller,Progressive speller. 1856,,"Osgood, Lucius.",,Pittsburgh,A.H. English & Co.,,1856,c1856|||1856|||1856-01-01T00:00:00,,,monographic,English,text,print,170 p. : ill. ; 17 cm.,,,Spellers,,,,459456,,,,,University of Pittsburgh,collection.120
00ack2700m,"United States' spelling book, with appropriate reading lessons: being an easy standard for spelling, reading and pronouncing the English language, according to the rules established by John Walker, in his critical and pronouncing dictionary, The",,,,,Pittsburgh,"Cramer, Spear and Eichbaum",,1815/1809,"1815|||1809|||1815, c1809|||ca. 1815-1809|||1815-01-01T00:00:00",,,monographic,English,text,print,156 p. ; 17 cm.,,,Spellers|||Readers|||English language|||Pronunciation,,,,459469,,,,,University of Pittsburgh,collection.120
00ack2791m,"Cobb's spelling book: being a just standard for pronouncing the English language, containing the rudiments of the English, language arranged in catechetical order, an organization of the alphabet, an easy scheme of spelling and pronunciation, intermixed with easy reading lessons : to which are added, some useful tables, with the names of cities, counties, towns, rivers, lakes, &c. in the United States, and a list of the proper names contained in the New Testament, and pronounced according to the best authorities : designed to teach the orthography and orthoepy of J. Walker",Spelling book. 1825 (Knowlton & Rice),,"Cobb, Lyman, 1800-1864","Walker, John, 1732-1807","Watertown, N.Y",Printed and published by Knowlton & Rice,,1825,c1825|||1825|||1825-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,168 p. ; 18 cm.,,,Spellers,,,,459560,,,,,University of Pittsburgh,collection.120
00ack5272m,"new guide to the English tongue: in five parts, containing,  I. Words both common and proper, from one to six syllables ... II. A large and useful table of words that are the same in sound but different in signification ... III. A short but comprehensive grammar ... IV. An useful collection of sentences in prose and verse, divine, moral and historical ... V. Forms of prayer for children on several occasions, A",,,"Dilworth, Thomas, d. 1780",,Carlisle,Printed by Archibald Loudon,,1810,1810|||1810-01-01T00:00:00,,,monographic,English,text,print,132 p. : ill. ; 17 cm.,,,English language|||Grammar|||Spellers,,,,461642,,,,,University of Pittsburgh,collection.120
00acl4424m,"Dr. Scudder's tales for little readers, about the heathen",,Tales for little readers about the heathen,,American Tract Society,New York,American Tract Society,,1849,c1849|||1849|||1849-01-01T00:00:00,,,monographic,English,text,print,198 p. : ill. ; 16 cm.,Juvenile literature,,Paganism|||Religions|||Christianity and other religions|||Hinduism|||Sunday-school literature,,,,469898,,,,,University of Pittsburgh,collection.120
00acl5621m,My story book,,,,,Boston,Massachusetts Sabbath School Society,,1800/1899,[18--?]|||ca. 1800-1899|||1800-01-01T00:00:00,,,monographic,English,text,print,64 p. : ill. ; 12 cm.,,,Sunday-school literature,,,,470922,,,,,University of Pittsburgh,collection.120
00acn8305m,Cyr's fourth reader,Fourth reader. 1899,,"Cyr, Ellen M., d. 1920",,Boston,Ginn & Company,,1899,c1899|||1899|||1899-01-01T00:00:00,,,monographic,English,text,print,"viii, 388 p. : ill., ports. ; 19 cm.",,,Readers (Elementary),1870-1950,,,491421,,,,,University of Pittsburgh,collection.120
00acq4243m,"Beadle's dime American speaker: comprising gems of elocution and humor, for schools, exhibitions, parlors, etc",,,"Victor, Orville J. (Orville James), 1827-1910",,New York,Beadle and Company,,1863,c1863|||1863|||1863-01-01T00:00:00,,Rev. and enl. ed.,monographic,English,text,print,98 p. ; 17 cm.,,,Recitations,,,,506319,,54047905,,,University of Pittsburgh,collection.120
00acq4264m,"national school primer, or, primary word-builder, The",,Primary word-builder,"Watson, J. Madison (James Madison), 1827-1900",,New York,American Book Company,,1858,c1858|||1858|||1858-01-01T00:00:00,,,monographic,English,text,print,64 p. : ill. ; 18 cm.,,,Readers (Primary),1800-1870,,,506340,,,,,University of Pittsburgh,collection.120
00acy5431m,"young gentleman and lady's monitor, and English teacher's assistant: being a collection of select pieces from our best modern writers : calculated to eradicate vulgar prejudices and rusticity of manners, improve the understanding, rectify the will, purify the passions, direct the minds of youth to the pursuit of proper objects, and to facilitate their reading, writing, and speaking the English language, with elegance and propriety : particularly adapted for the use of our eminent schools and academies, as well as private persons, who have not an opportunity of perusing the works of those celebrated authors, from whence this collection is made : divided into small portions for the ease of reading in classes, The",,,"Moore, John Hamilton, d. 1807",,New York,"Printed for Evert Duyckinck, by Southwick and Crooker",,1802,1802|||1802-01-01T00:00:00,,Latest ed.,monographic,English,text,print,"vi, 382, [5] p. ; 18 cm.",,,Readers|||Youth|||Conduct of life,,,juvenile,568840,,,,,University of Pittsburgh,collection.120
00acy5488m,McGuffey's eclectic primer,Eclectic primer. 1881 (American Book Company),,"McGuffey, William Holmes, 1800-1873",,New York,American Book Company,,1881,c1881|||1881|||1881-01-01T00:00:00,,Rev. ed.,monographic,English,text,print,64 p. : ill. ; 19 cm.,,,Readers (Primary),1870-1950,,,568896,,,,,University of Pittsburgh,collection.120
00acz7897m,"Introduction to the national reader: a selection of easy lessons : designed to fill the same place in the common schools of the United States, that is held by Murray's introduction, and the compilations of Guy, Mylius, and Pinnock, in those of Great Britain",,,"Pierpont, John, 1785-1866",,New York,George F. Cooledge,,1835,c1835|||1835|||1835-01-01T00:00:00,,,monographic,English,text,print,168 p. ; 19 cm.,,,Readers,,,,580420,,,,,University of Pittsburgh,collection.120
00acz7992m,First lessons in numbers: oral and written,,,"Maglathlin, Henry B. (Henry Bartlett), 1819-1910","Greenleaf, Benjamin, 1786-1864",Boston,"Leach, Shewell, and Sanborn",,1881,c1881|||1881|||1881-01-01T00:00:00,,,monographic,English,text,print,"iv, 124 p. : ill. ; 18 cm.",Early works to 1900,,Arithmetic,,,,580512,,,,,University of Pittsburgh,collection.120
00acz8145m,"progressive third reader, for public and private schools: containing the elementary principles of elocution, illustrated by examples and exercises in connection with the tables and rules, and a series of lessons in reading : with original designs and engravings, The",,,"Town, Salem, 1779-1864","Holbrook, Nelson M.",Boston|||Portland [Me.],Bazin & Ellsworth|||Bailey and Noyes,,1857,c1857|||1857|||1857-01-01T00:00:00,,,monographic,English,text,print,304 p. : ill. ; 20 cm.,,,Readers,,,,580641,,,,,University of Pittsburgh,
