id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
31735037969825,"Letters From the Oregon Trail: Carbon Copy, Part I (2 copies),",,,,,[1852-1855]; 1908; 1913,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969833,"Letters From the Oregon Trail: Carbon Copy, Part 2,",,,,,[1852-1855]; 1908; 1913,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969841,"Description on the Construction of a Military Road from Fort Walla Walla to Fort Steilacoom, by George H. Himes",,,1844/1859,1844-01-01T00:00:00,[1844-1859],,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 3",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969858,"Chinook Jargon:Carbon Copy and Photocopy,",,,1852/1855,1852-01-01T00:00:00,[1852-1855],,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969866,"Civil War Prose on Slavery,",,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 156, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969874,"Original Journal from the Oregon Trail,",,,1852,1852-01-01T00:00:00,1852,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 159, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969882,"Scrapbook of Newspaper Clippings of Poems and Handwritten Poems,",,,1848/1849,1848-01-01T00:00:00,1848-1849,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 159, Folder 3",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969890,"Small Notebook of Poetry,",,,1850/1914,1850-01-01T00:00:00,1850-1914,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 159, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969908,"Scrapbook Album Including Photos and Miscellaneous Allen Family Items,",,,1855,1855-01-01T00:00:00,1855,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 159, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969916,"The Veteran,",,,1853/1904,1853-01-01T00:00:00,1853-1904,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 18",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969924,"The Walls of Sand: A True Fairy Story,",,,1885,1885-01-01T00:00:00,1885,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 12",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969932,"Matter of Petition For Awarding Medal of Honor to Allen From 155th Regiment of Pennsylvania,",,,1862,1862-01-01T00:00:00,1862,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 13",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969940,"Memorial Day Address Given At Homewood Cemetary,",,,1901,1901-01-01T00:00:00,1901,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 14",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969957,"Fall In! Comrades, Written For The 155th Regiment of Pennsylvania Volunteers,",,,1894,1894-01-01T00:00:00,1894,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 15",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969965,"Photographs of the 155th Regiment of Pennsylvania Volunteers of the Civil War,",,,1908,1908-01-01T00:00:00,1908,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969973,"Journal Accounting Daily Life in Pittsburgh,",,,1849/1850,1849-01-01T00:00:00,1849-1850,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969981,"Journal Accounting Daily Life in Pittsburgh,",,,1851,1851-01-01T00:00:00,1851,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 6",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037969999,"Journal Accounting Daily Life in Pittsburgh, a Christmas present from William,",,,1852,1852-01-01T00:00:00,1852,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 8",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970005,"Scrapbook of Newspaper Clippings of Poetry by Edward, William and Other Authors and Articles Written by Edward About Numerous Travels, Published in the Pittsburgh Dispatch,",,,1853/1889,1853-01-01T00:00:00,1853-1889,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 9",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970021,"Certificate Of Permission For Entry into Virginia,",,,1862,1862-01-01T00:00:00,1862,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970039,"Membership Card For The Military Order Loyal Legion United States,",,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970047,"Program For The Dedication Of Monument In Memorial Of The 155th Regiment Of Pennsylvania,",,,1886,1886-01-01T00:00:00,1886,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 3",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970054,"Letter Of Recommendation For Rank Of Colonel,",,,1863,1863-01-01T00:00:00,1863,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970062,"Badges Of Reunions Held For The 155th Regiment of Pennsylvania Volunteers,",,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 157, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970070,"Diary Containing Accounts of Daily Life in Pittsburgh and on the Steamboat New Hampshire,",,,1845,1845-01-01T00:00:00,1845,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 180, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970088,"Diary Containing Accounts of Daily Life in Pittsburgh and on the Steamboat New Hampshire,",,,1846,1846-01-01T00:00:00,1846,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 180, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970096,"Scrapbook of Newspaper Clippings Concerning the Steamboat New Hampshire,",,,1847,1847-01-01T00:00:00,1847,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 180, Folder 3",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970104,"Book of Fift, Notebook of Mathematical Reference Collected by Allen,",,,1837/1897,1837-01-01T00:00:00,1837-1897,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 182, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970112,"""Notices of Books,"" Notebook Containing Summaries and Personal Reviews of Books and Journal Entries Accounting Daily Life and Travels,",,,1840/1841,1840-01-01T00:00:00,1840-1841,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 182, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970120,"Personal Diary Accounting Daily Life on the steamboat New Hampshire,",,,1842,1842-01-01T00:00:00,1842,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 182, Folder 3",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970138,"Scrapbook of Newspaper Clippings of Poems and Handwritten Quotations,",,,1844,1844-01-01T00:00:00,1844,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 182, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970146,"Scrapbook of Newspaper Clippings concerning the steamboat New Hampshire, current events, local happenings, and Hungarian President Kossuth,",,,1847/1853,1847-01-01T00:00:00,1847-1853,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 182, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970153,"The New Hampshire Steamer Album of Poems, Illustrations, and Newspaper Clippings Regarding the Death of George and also William, ten years later,",,,1845/1857,1845-01-01T00:00:00,1845-1857,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 183, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970161,"Diary Accounting Work on the Steamboat New Hampshire and Daily Life in Pittsburgh,",,,1845,1845-01-01T00:00:00,1845,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 183, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970179,"Review of Books Perused By...,Notebook Containing Personal Reviews and Summaries of Books,",,,1847/1851,1847-01-01T00:00:00,1847-1851,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 183, Folder 3",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970187,"Book of Recorded Quotations and Poems,",,,1847,1847-01-01T00:00:00,1847,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 183, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970195,"Scrapbook of Newspaper Clippings of Poems and Recorded Poems,",,,1849/1963,1849-01-01T00:00:00,1849-1963,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 183, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970203,"Diary as Clerk on the Steamboat Hiram Powers,",,,1849,1849-01-01T00:00:00,1849,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 183, Folder 6",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970211,"Diary Accounting Work on The Steamboat Norma and Daily Life in Pittsburgh,",,,1851,1851-01-01T00:00:00,1851,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 184, Folder 3",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970229,"Diary Accounting Work on The Steamboat Norma and Daily Life in Pittsburgh,",,,1854,1854-01-01T00:00:00,1854,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 184, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970237,Edward Jay Allen (paternal grandfather),,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 174, Folder 8",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970245,William H. Allen (great uncle),,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 177, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970252,Hervey upon return from Washington Territory [framed portrait],,,1855,1855-01-01T00:00:00,1855,,still image,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037970260,"Uniform Regalia,",,,1867,1867-01-01T00:00:00,1867,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 160, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037972381,"Toward the Flame: Original Handwritten Letter from Hervey Allen on Active Duty, Inspiration for Toward the Flame,",,,1918,1918-01-01T00:00:00,1918,,text,,,archival document,,,,,Hervey Allen Papers,"II. Manuscripts, 1900-1949","Box 28, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037972399,"Winthrop Allen (brother),",,,,,"January 28, 1942-June 15, 1942",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 4,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972407,"Winthrop Allen (brother),",,,1947,1947-01-01T00:00:00,1947,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 172, Folder 7",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037972415,"Winthrop Allen (brother),",,,,,"June 8, 1948-January 22, 1949",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 8,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972431,"Winthrop Allen (brother),",,,,,"August 15, 1942-July 20, 1943",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 4,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972449,"Winthrop Allen (brother),",,,,,"January 22, 1949-February 23, 1949",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 9,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972456,"Winthrop Allen (brother),",,,,,"November 30, 1926-April 30,1928",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 7,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972472,"Winthrop Allen (brother),",,,,,"August 3, 1943-May 15, 1944",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 5,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972480,"Elizabeth Allen (sister),",,,,,undated,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 170, Folder 9",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037972498,"Winthrop Allen (brother),",,,,,"June 24, 1928-August 14, 1929",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 7,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972506,"Winthrop Allen (brother),",,,,,"July 30, 1934-September 18, 1935",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 9,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972514,"Winthrop Allen (brother),",,,,,"July 7, 1944-May 4, 1945",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 5,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972522,"Elizabeth Allen (sister),",,,,,"July 4, 1918-April 5, 1924",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 10,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972530,"Winthrop Allen (brother),",,,,,"August 26, 1931-July 20, 1934",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 8,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972555,"Winthrop Allen (brother),",,,,,"May 9, 1945-September 2, 1945",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 6,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972563,"Elizabeth Allen (sister),",,,,,"June 17, 1924-March 23, 1928",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 10,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972571,"Winthrop Allen (brother),",,,,,"August 30, 1933-June 13, 1934",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 8,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972589,"Winthrop Allen (brother),",,,,,"October 1, 1935-December 15, 1936",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 9,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972597,"Winthrop Allen (brother),",,,,,"September 27, 1945-September 19,1946",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 6,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972613,"Elizabeth Allen (sister),",,,,,"January 15,1931-August 3, 1933",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 11,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972621,"Winthrop Allen (brother),",,,,,"February 21, 1921-August 6, 1921",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 5,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972639,"Winthrop Allen (brother),",,,,,"January 28, 1948-May 24, 1948",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 8,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972662,"Winthrop Allen (brother),",,,,,"April 28, 1918-December 6, 1920",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 5,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972670,"Winthrop Allen (brother),",,,,,"March 17, 1949-March 20,1950",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 9,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972688,"Elizabeth Allen (sister),",,,,,"August 26, 1944-February 27, 1946",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 15,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972696,"May 4, 1946-March 11, 1949",,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 15,ULS Special Collections Department,University of Pittsburgh,collection.129
31735037972704,"Winthrop Allen (brother),",,,,,"October 30,1921-December 22, 1923",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 6,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972738,"Elizabeth Allen (sister),",,,,,"July 28, 1943-August 23, 1944",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 14,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972746,"Winthrop Allen (brother),",,,,,"August 26, 1924-March 29, 1926",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 6,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972779,"Elizabeth Allen (sister),",,,,,"January 10,1940-July 2, 1943",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 14,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972787,"Winthrop Allen (brother),",,,,,"January 19, 1938-March 29, 1938",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 1,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972811,"Elizabeth Allen (sister),",,,,,"January 4, 1938-December 23, 1939",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 170, Folder 13",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037972829,"Winthrop Allen (brother),",,,,,"April 18, 1938-March 9, 1939",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 1,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972852,"Elizabeth Allen (sister),",,,,,"August 9, 1934-October 27, 1936",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 12,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972860,"Winthrop Allen (brother),",,,,,"March 9, 1939-June 27, 1939",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 2,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972894,"Elizabeth Allen (sister),",,,,,"November 11, 1933-June 8, 1934",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 12,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972902,"Winthrop Allen (brother),",,,,,"July 5, 1939-March 6, 1940",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 2,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972936,"Elizabeth Allen (sister),",,,,,"November 4, 1928-December 1, 1930",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 11,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972944,"Winthrop Allen (brother),",,,,,"April 18, 1940-October 3, 1940",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 3,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972977,"Winthrop Allen (brother),",,,,,"July 22, 1937-December 31, 1937",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 10,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037972985,"Winthrop Allen (brother),",,,,,"January 13,1941-October 3, 1941",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 3,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735037973009,"Framed Letter From Theodore Roosevelt,",,,1898,1898-01-01T00:00:00,1898,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 158, Folder 7",ULS Special Collections Department,University of Pittsburgh,collection.129
31735037973017,"Winthrop Allen (brother),",,,,,"February 1, 1937-July 13, 1937",,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965",Folder 10,ULS Archives & Special Collections,University of Pittsburgh,collection.129
31735062230549,"Bonfield Manor,",,,1926/1934,1926-01-01T00:00:00,1926-1934,,text,,,archival document,,,,,Hervey Allen Papers,"VIII. Estates and Financial Matters, 1919-1952","Box 147, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230556,"Account Book, Bookkeeping, Guestbook, and Land Description,",,,1926/1936,1926-01-01T00:00:00,1926-1936,,text,,,archival document,,,,,Hervey Allen Papers,"VIII. Estates and Financial Matters, 1919-1952","Box 146, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230564,Genealogy,,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 173, Folder 4",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230572,"Edgehill Home,",,,1899/1900,1899-01-01T00:00:00,1899-1900,,text,,,archival document,,,,,Hervey Allen Papers,"IX. Family Papers, 1831-1965","Box 178, Folder 2",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230580,"Portrait of Allen Family with John W. Alexander at Edgehill,",,,1876,1876-01-01T00:00:00,1876,,text,,,archival document,,,,,Hervey Allen Papers,"X. Oversized Material, 1856-1953","Box 193, Item 1",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230598,Richfield Springs: Typed Draft for Curtis Brown Ltd. (Chapters 1-4),,,,,,,text,,,archival document,,,,,Hervey Allen Papers,"II. Manuscripts, 1900-1949","Box 27, Folder 5",ULS Special Collections Department,University of Pittsburgh,collection.129
31735062230606,"Richfield Springs: Handwritten Holograph (Notes, General Approach, Outline, Headings),",,,1935,1935-01-01T00:00:00,1935,,text,,,archival document,,,,,Hervey Allen Papers,"II. Manuscripts, 1900-1949","Box 27, Folder 1",ULS Special Collections Department,University of Pittsburgh,collection.129
US-PPiU-sc195201,"Hervey Allen papers, 1831-1965","Allen, Hervey, 1889-1949",,,,,English,mixed material,,90.0 (185 9,Correspondence|||Diaries|||Family papers|||Financial records|||Manuscripts for publication|||Personal papers,"The Hervey Allen papers consist of handwritten, holograph and typewritten drafts and manuscripts, research notes, singular serial publications, and associated material related to press coverage of Allen's novels and film adaptations. Extensive personal and professional correspondence exists with Allen's main publishing company, Farrar and Rinehart/Rinehart Company, and other international publishers; financial and business correspondence related to his personal and professional finances; and personal correspondence with notable writers such as Stephen Vincent Benét, William Rose Bené́t, John Bennett, Carl Carmer, Padraic Colum, John Drinkwater, Robert Frost, DuBose Heyward, Amy Lowell, Kenneth Roberts, E.A. Robinson and Philip Wylie. Also present are the Allen's family papers which include correspondence, diaries, genealogical research, journals, newspaper clippings, photographs, and scrapbooks.","Alumni and alumnae|||Authors, American|||Poets, American|||World War, 1914-1918|||History|||Fiction|||Alexander, John White 1856-1915|||Allen, Edward Jay 1830-1915|||Allen, Hervey 1889-1949|||Benét, Stephen Vincent 1898-1943|||Benét, William Rose 1886-1950|||Butcher, Fanny 1888-1987|||Farrar, John Chipman 1896-1974|||Frost, Robert 1874-1963|||Lowell, Amy 1874-1925|||Wyeth, Andrew 1917-2009|||Allen family|||Bread Loaf School of English (Middlebury College).|||Bread Loaf Writers' Conference of Middlebury College.|||Farrar & Rinehart.|||Rinehart & Company, Inc.|||St. John's College (Annapolis, Md.).|||United States. War Manpower Commission.|||University of Pittsburgh","20th century|||Civil War, 1861-1865|||Colonial period, ca. 1600-1775|||19th century",United States|||Oregon National Historic Trail|||Pittsburgh|||Pennsylvania|||West (U.S.),,,,,University of Pittsburgh,collection.129
