,identifier,title,alternative_title,author,depositor,enumeration_chronology,bib_id,associated_names,publisher,place_of_publication,publication_date,start_date,end_date,frequency,language,format,extent,genre,lc_subject_heading(s),copyright_status,copyright_holder,copyright_note,copyright,bibid,issn,lccn,oclcn
0,31735047439447,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 4, no. 4",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1990-12-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
1,31735047439298,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 8, no.2",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1995-06-01T00:00:00,1987; 1987,9999; 9999,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
2,31735047439405,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 5, no. 3",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1991-09-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
3,31735047439496,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 1, no. 1",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1987-03-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
4,31735047439363,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 5, no. 4",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1991-12-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
5,31735047439314,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 6, no.3",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1992-09-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
6,31735047439553,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 2, no.1",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1988-03-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
7,31735047441138,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 8, no.4",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1995-12-01T00:00:00,1987; 1987,9999; 9999,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
8,31735047439413,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 3, no. 2",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1989-06-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
9,31735047439603,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 1, no. 3",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1987-09-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
10,31735047439421,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 4, no. 1",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1990-03-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
11,31735047439561,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 2, no. 2",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1988-06-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
12,31735047439397,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 5, no. 2",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1991-06-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
13,31735047439330,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 8, no. 1",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1995-01-01T00:00:00,1987; 1987,9999; 9999,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
14,31735047439322,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,vol. 6 no. 2,861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1992-06-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
15,31735047439355,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 6, no.1",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1992-03-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
16,31735047439488,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 3, no. 3",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1989-09-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
17,31735047439512,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 2, no.4",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1988-12-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
18,31735047439256,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 8, no.3",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1995-09-01T00:00:00,1987; 1987,9999; 9999,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
19,31735047439439,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 5, no.1",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1991-03-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
20,31735047439470,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 3, no. 1",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1989-03-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
21,31735047439504,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 1, no. 2",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1987-06-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
22,31735047439348,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 6, no. 4",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1992-12-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
23,31735047439272,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 7, no. 1",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1993-12-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
24,31735047439371,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 4, no.2",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1990-06-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
25,31735047439306,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 7, no. 3",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1994-09-01T00:00:00,1987; 1987,9999; 9999,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
26,31735047439264,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 7, no. 4",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1994-12-01T00:00:00,1987; 1987,9999; 9999,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
27,31735047439280,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 7, no. 2",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1994-06-01T00:00:00,1987; 1987,9999; 9999,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
28,31735047439389,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 4, no.3",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1990-09-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
29,31735047439520,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 2, no.3",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1988-09-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
30,31735047439454,Shooting star review; Shoot. star. rev; Shooting star; Shooting star review; Shoot. star. rev; Shooting star,Shooting star; Shooting star,Sandra Gould Ford; University of Pittsburgh depositor,University of Pittsburgh,"vol. 1, no.4",861413; 861413,Sandra Gould Ford; University of Pittsburgh depositor,Sandra Gould Ford,"Pittsburgh, PA",1987-12-01T00:00:00,,,Quarterly,eng,print; print,,periodical; periodical,,copyrighted,Sandra Gould Ford,Permission granted by owner/publisher,Sandra Gould Ford Permission granted by owner/publisher,861413; 861413,0892-1407; 0892-1407,sn 87000149; sn 87000149,
