RecordID,DateAdded,DateChanged,Author,Title,CopyrightDate,Barcode,Classification,MainEntry,Custom1,Custom2,Custom3,Custom4,Custom5,ImportErrors,ValidationErrors,TagNumber,Ind1,Ind2,ControlData,Sort,LDR,001,005,006,008,007,010,012,016,019,020,022,030,928,015,029,099,037,041,110,092,247,440,090,246,533,032,212,852,035,100,264,752,250,265,710,760,040,785,840,042,043,504,570,772,049,336,505,510,050,337,546,630,082,338,506,700,130,210,490,583,222,535,538,610,730,245,787,260,611,936,515,648,300,588,310,530,590,321,550,775,890,362,500,653,651,948,525,580,830,555,650,853,655,863,740,770,776,777,780,850,856,891,994
"314","6/12/2019 12:41:06 PM","9/2/2012 11:02:50 PM","","The advocate.","","","","","","","","","","MARC record length is not numeric or incorrect number of characters.","","994"," "," ","","","03156cas a2200673 a 4500","532510","20120902230250.0","","760620c19702010caumr pe      0   a0eng  ","","$a   72624007 $zsn 84012011 ","$i8408$j1$k1$l1$m1","","$a70082472$a70082527$a213507741$a220095063","","$a0001-8996$21","","","","$aNLGGC$b85076355X$aNZ1$b2645532$aNZ1$b8773354$aAU@$b000002377549","","","","","","","","","","","$a319380$bUSPS","","","$a(OCoLC)ocm02256995$a(OCoLC)2256995$z(OCoLC)70082472$z(OCoLC)70082527$z(OCoLC)213507741$z(OCoLC)220095063$a532510","","","","","","","","$aDLC$cPIT$dMUL$dNSD$dMUL$dHUL$dAIP$dNSD$dNST$dAIP$dNSD$dNST$dIUL$dNST$dHUL$dDLC$dCUS$dDLC$dIUL$dCLU$dOCLCQ$dNYP$dCDS$dNSD$dDLC$dOCLCQ$dTBS$dNLGGC$dCUS$dTJC$dDLC$dCUT$dUtOrBLW","","","$ansdp$alc","$an-us---","","","","$aPITT","","","","$aHQ76.8.U5$bA63","","","","$a301.41/57/05","","","","$aAdvocate (Los Angeles, Calif.)","$aAdvocate$b(Los Angel. Calif.)","","","$aThe Advocate$b(Los Angeles, Calif.)","","","","","$aThe advocate.","","$a[Los Angeles, Calif. :$bLiberation Publications.$3<Feb. 2010->$aLos Angeles, Calif. :$bHere Publishing Inc.","","","","","$av. :$bill. ;$c28-45 cm.","","$aMonthly,$bFeb. 2009-","","","$aBiweekly,$b1970-Jan. 13, 2009","","","","$aBegan with no. 33 (May 13-26, 1970).","$aIssue no. 33 (May 13-26, 1970)-no. 155 (Jan. 15, 1975) published by Advocate Publications; no. 156- by Liberation Publications.$aDescription based on: Issue 520 (Mar. 14, 1989); title from cover.$aLatest issue consulted: Issue 1035  (Feb. 2010).","","","","$aUnnumbered special issue dated Apr. 30, 2000 has also title: Special commemorative issue: The Millenium March on Washington for Equality.","$aBeginning with issue 1035 (Feb. 2010)-   issued with: Out (New York, N.Y.).","","$a1967-1982. 1 v.","$aHomosexuality$zUnited States$vPeriodicals.$aGay liberation movement$zUnited States$vPeriodicals.$aHomoseksualiteit.$2gtt","","$aOnline resources.$2local","","$aAdvocate, the national gay lesbian newsmagazine.","$tOut traveler$x1548-5684$w(DLC)  2003248957$w(OCoLC)53129295","$iMicrofilm version:$tAdvocate (Los Angeles, Calif.)$x0001-8996$w(DLC)  2004205871$w(OCoLC)55520910$iOnline version:$tAdvocate (Los Angeles, Calif. : Online)$w(OCoLC)60638931","$tOut (New York, N.Y.)$gFeb. 2010-$x1062-7928$w(DLC)   95657077$w(OCoLC)25743067","$tLos Angeles advocate$w(DLC)   71220969$w(OCoLC)2972005","$aCLU$aCSt$aCU-S$aDLC$aDeU$aIU$aIaU$aInU$aKU-S$aLNT$aMH$aMH-KG$aMdBJ$aMnU$aNcD$aNcRS$aNcU$aOU$aTxCM$aViBlbV","$3Abstracts and selected articles$uhttp://bibpurl.oclc.org/web/626$uhttp://www.advocate.com/","$9853$81$ano.$i(year)$j(month)$k(day)$we$9863$81.1$a<845 >$i<2001 >$j<08 >$k<28 >$9853$82$aissue$i(year)$j(month)$wm$9863$82.1$a1023$i2009$j02","$aC0$bPIT"
"315","6/12/2019 12:41:06 PM","5/22/1999 10:04:22 PM","","Agape And Action -newsletter Of The Radical Christian Committee Of Concern","","","","","","","","","","","","852"," "," ","","","00449nas a2200169L  4500","532530","19990522220422.0","","760620                             eng u","","","","","","","","","","","","","","","","","","","","","","","","$aPIT$bPITX$v4-6","$a(OCoLC)02257030$aPITT  NO.  0216600006$9ACT8940C1","","","","","","","","$cPIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aAgape And Action$b-newsletter Of The Radical Christian Committee Of Concern","","$aBerkeley, Calif","","","","","","","","","","","","","","$aNo1,1970-","$aMonthly.","","","","","","","","","","","","","","","","","","","",""
"316","6/12/2019 12:41:06 PM","11/14/2012 6:55:58 PM","","American man.","","","","","","","","","","","","852"," "," ","","","00784cas a2200289   4500","547102","20121114185558.0","","800523c19809999mduqr1p       0uuua0eng d","","$asn 80012550 ","$i8403$l1","","","","$a0271-9487","","","","","","","","","","","","$aHQ1090$b.A4","","","","","$aPIT$bPITX$v2-$y1981-","$a(OCoLC)06352511$9ACV7144C1","","","","","$aRichard Haddad, P.O. Box 693, Columbia, Md. 21045","","","$aUMC$cUMC$dNSD$dNST","","","$ansdp","","","$aEditor: 1980-   R. Haddad.","","","","","","","","","","","","","$aHaddad, Richard.","","","","","$aAmerican man$b(Columbia)","","","","","$aAmerican man.","","$aColumbia, Md.,$bR. Haddad.","","","","","$av.$bill.$c22 cm.","","","","","","","","","$av. 1-   winter 1980-","","","","","","","","","$aMen$xPeriodicals.$aSex role$xPeriodicals.","","","","","","","","","","","",""
"317","6/12/2019 12:41:06 PM","5/22/1999 10:04:22 PM","","Blueboy.","","","","","","","","","","","","852"," "," ","","","00583cas a2200229   4500","549414","19990522220422.0","","811005c19uu9999nyumr1p       0uuua0eng d","","$asn 81002823 ","$i8608$m1","","","","$a0279-3733","","","","","","","","","","","","","","","","","$aPIT$bPITX$v4-14,16-17,20-27,29-39","$a(OCoLC)07816856$9ACW0127C1","","","","","","","","$aNSD$cNSD$dNST","","","$ansdp","","","","","","","","","","","","","","","","","","","","","$aBlueboy","","","","","$aBlueboy.","","$aNew York, N.Y. :$bBlueboy, inc.,","","","","","$av.","","$aMonthly","","","","","","","","$aDescription based on: Vol. 60 (Oct. 1981); title from cover.","","","","","","","","","","","","","","","","","","","",""
"318","6/12/2019 12:41:06 PM","11/14/2012 6:55:48 PM","","Boston gay review.","","","","","","","","","","","","852"," "," ","","","00664cas a2200205   4500","544788","20121114185548.0","","790427c197u9999mauuu pe      0uuua0eng d","","","","","","","","","","","","","","","","","","","$aPN2$b.B6","","","","","$aPIT$bPITX$v2,4-","$a(OCoLC)04903842$9ACV4127C1","","","","","$aBox 277, Astor Sta., Boston, Mass., 02123","","","$aPIT$cPIT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aBoston gay review.","","$aBoston,$bBoston Gay Review Collective.","","","","","$a v.$bill.$c34 cm.","","","","","","","","","","","","","","","","","","$aHomosexuality and literature$xHistory and criticism$xPeriodicals.$aHomosexuality in literature$xPeriodicals.$aHomosexuality$xPoetry$xHistory and criticism$xPeriodicals.","","","","","","","","","","","",""
"319","6/12/2019 12:41:06 PM","5/22/1999 10:04:22 PM","","Fag rag.","","","","","","","","","","","","852"," "," ","","","00753cas a2200289   4500","540013","19990522220422.0","","761109c197u9999mauuu1pe      0uuua0eng d","","$asn 84012251 ","$i8508","","","","$a0046-3167","","","","","","","","","","","","$aHQ76.5$b.F35","","","","","$aPIT$bPITX$v3-7/8,10-","$a(OCoLC)02547737$a293475000$bPITT$9ACU7926C1","","","","","","","","$aPIT$cPIT$dAIP$dNST$dAIP$dNSD","","","$alcd$ansdp","","","","","","","","$aAlternative press index$x0002-662X","","","","","$a306$211","","","","","$aFag rag","","","$aFag rag","","","","","$aFag rag.","","$aBoston, Mass.,$bFag Rag.","","","","","$av.$bill.$c43x29 cm.","","","","","","","","","","","","","","","","","","$aGay liberation movement$xPeriodicals.$aHomosexuality$xPeriodicals.","","","","","","","","","","","",""
"320","6/12/2019 12:41:06 PM","6/27/2018 11:05:12 AM","","Gay.","1969","","","","","","","","","","","856","4","0","","","03386cas a2200481 i 4500","9247172","20180627110512.0","m    |   d |      ","840917u1969uuuunyumr neo     0   a0eng c","cr |n||||||||n","","","","","","","","","","","","","","","","","","","$aGay (New York, N.Y.)$aGay (New York, New York)","","","","","$a(MiFhGG)AHSI000342$a(OCoLC)800422257","","$aNew York :$bFour Swords, Incorporated,$c1969-","","","","","","$aMIGCL$beng$cUtOrBLW$erda","","","","$an-us---","","","","","$atext$btxt$2rdacontent","","","","$acomputer$bc$2rdamedia","","","","$aonline resource$bcr$2rdacarrier","","","","","$aArchives of Sexuality & Gender: LGBTQ History and Culture since 1940","","","","","","","$aGay.","","","","","$aIssues beginning Nov. 1970 also carry volume designation. Contains numbering inconsistencies.","","$a1 online resource (volumes) :$billustrations.","$aDescription based on: April 27, 1970 (issue 12); title from caption.","$aMonthly,$bJuly 1973-","","$aReproduced from source library (Lesbian Herstory Archives): April 27, 1970 (issue 12).$aReproduced from source library (Gay, Lesbian, Bisexual, and Transgender Historical Society): issue 1 (Dec. 1, 1969)-issue 3 (Dec. 31, 1969) ; issue 10 (Apr. 13, 1970) ; v. 1, issue 24 (July 20, 1970) ; v. 1, issue 37 (Nov. 9, 1970) ; v. 2, issue 44 (Feb. 15, 1971)-v. 2, issue 49 (Apr. 26, 1971) ; v. 2, issue 51 (May 24, 1971) ; v. 2, issue 54 (July 5, 1971)-v. 2, issue 56 (Aug. 2, 1971) ; v. 2, issue 58 (Aug. 30, 1971) ; v. 2, issue 60 (Sept. 27, 1971)-v. 2, issue 64 (Nov. 22, 1971) ; v. 3, issue 65 (Dec. 6, 1971)-v. 3, issue 66 (Dec. 20, 1971) ; v. 3, issue 69 (Jan. 24, 1972)-v. 3, issue 79 (June 26, 1972) ; v. 3, issue 81 (July 24, 1972)-v. 3, issue 82 (Aug. 7, 1972) ; v. 3, issue 84 (Sept. 4, 1972)-v. 3, issue 87 (Oct. 6, 1972) ; v. 4, issue 89 (Nov. 13, 1972)-v. 4, issue 92 (Dec. 25, 1972) ; v. 4, issue 94 (Jan. 29, 1973)-v. 4, issue 95 (Feb. 12, 1973) ; v. 4, issue 107 (Sept. 1, 1973)-v. 4, issue 109 (Nov. 1, 1973) ; v. 5, issue 113 (June 1, 1974).","$aBiweekly,$bDec. 1, 1969-Apr. 13, 1970$aWeekly,$bApr. 20-Sept. 28, 1970$aBiweekly,$bOct. 12, 1970-June 18, 1973","","","","$aNo. 1 (Dec. 1, 1969)-","$aTitle from caption.$aReproduction of the original from Lesbian Herstory Archives.$aReproduction of the original from Gay, Lesbian, Bisexual, and Transgender Historical Society.","","$aNew York (N.Y.)$vNewspapers.$aNew York County (N.Y.)$vNewspapers.","","","","$aArchives of Sexuality & Gender: LGBTQ History and Culture since 1940.","","$aHomosexuality$zUnited States$vNewspapers.$aGays$zUnited States$vNewspapers.$aGay men$zUnited States$vNewspapers.","","","","","","","","","","$uhttp://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=1NEM&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main$zPitt users please click through for access via Gale Cengage.$uhttp://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QYU&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main$zPitt users please click through for access via Gale Cengage.","",""
"321","6/12/2019 12:41:06 PM","6/27/2018 11:05:52 AM","","Gay NYC.","1969","","","","","","","","","","","856","4","0","","","02390cas a2200457 i 4500","9247403","20180627110552.0","m    |   d |      ","840917u1969uuuunyumr neo     0   a0eng c","cr |n||||||||n","","","","","","","","","","","","","","","","","","","$aGay","","","","","$a(MiFhGG)AHSI000575$a(OCoLC)952385097","","$aNew York :$bFour Swords, Incorporated,$c1969-","","","","","","$aMIGCL$beng$cUtOrBLW$erda","","","","$an-us---$an-us-ny","","","","","$atext$btxt$2rdacontent","","","","$acomputer$bc$2rdamedia","","","","$aonline resource$bcr$2rdacarrier","","","$aGay (New York, N.Y.)","","$aArchives of Sexuality & Gender: LGBTQ History and Culture since 1940","","","","","","","$aGay NYC.","","","","","$aIssues beginning Nov. 1970 also carry volume designation. Contains numbering inconsistencies.","","$a1 online resource (volumes) :$billustrations.","$aDescription based on: issue 11 (Apr. 20, 1970).$aLatest issue consulted: (Jun. 1974).","$aMonthly,$bJuly 1973-","","$aReproduced from source library: issue 11 (Apr. 20, 1970) ; issue 13 (May 4, 1970)-issue 14 (May 11, 1970) ; issue 23 (July 13, 1970) ; issue 26 (Aug. 3, 1970)-issue 32 (Sept. 14, 1970) ; issue 36 (Oct. 26, 1970) ; v. 2, issue 53 (June 21, 1971) ; v. 3, issue 70 (Feb. 7, 1972)-v. 3, issue 72 (Mar. 6, 1972) ; v. 3, issue 80 (July 10, 1972) ; v. 3, issue 83 (Aug. 21, 1972) ; v. 3, issue 85 (Sept. 18, 1972) ; v. 3, issue 88 (Oct. 30, 1972).","$aBiweekly,$bDec. 1, 1969-Apr. 13, 1970$aWeekly,$bApr. 20-Sept. 28, 1970$aBiweekly,$bOct. 12, 1970-June 18, 1973","","","","$aNo. 1 (Dec. 1, 1969)-","$aTitle from cover.$aReproduction of the original from Lesbian Herstory Archives.","","$aNew York (N.Y.)$vNewspapers.$aNew York County (N.Y.)$vNewspapers.","","","","$aArchives of Sexuality & Gender: LGBTQ History and Culture since 1940.","","$aHomosexuality$zUnited States$vNewspapers.$aGays$zUnited States$vNewspapers.$aGay men$zUnited States$vNewspapers.","","","","","","","","","","$uhttp://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=9EYO&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main$zPitt users please click through for access via Gale Cengage.","",""
"322","6/12/2019 12:41:06 PM","5/22/1999 10:50:58 PM","","Gay community news.","","","","","","","","","","","","948"," "," ","","","01591mas a2200433   4500","1696389","19990522225058.0","","770628c19739999mauqr1pe      0   a0eng d","","$asc 77001418 ","$a2$j0$k1$l1$m1","","$a30442802","","$a0147-0728","","","","","","","","","","","","","$aGCN","","$a058170$bUSPS","","","$a(OCoLC)03079323$9ARH3077C1","","","","","","","","$aNSD$cNSD$dDLC$dNSD$dDLC$dNST$dOCL$dNST$dAIP$dNSD$dAIP$dNST$dHUL$dNST$dIUL$dNSD$dELM$dNST$dIUL$dNST$dHUL$dOCL$dWAU","","","$ansdp$alc","$an-us---","","","","$aPITT","","","$aAlternative press index$x0002-662X","$aHQ75$b.G37","","","","$a305$211","","","","","$aGay community news$b(Boston Mass.)","","","$aGay community news$b(Boston, Mass.)","","","","","$aGay community news.","","$a[Boston,$bG.C.N., inc.]","","","$aPublication suspended with July 4/17, 1992 issue amd resumed with June 1994 issue.","","$av.$bill.$c43 cm.","","$aQuarterly,$b1994-","","","$aWeekly (except the last week of Apr., Aug. and Dec.),$b1973-1992","","","","$aBegan with v. 1, no. 2 on June 28, 1973.","","","","$aais;LM","","","","","$aHomosexuality$xPeriodicals.$aGay men$zUnited States$xPeriodicals.$aGay liberation movement$xPeriodicals.","","","","","","$cMicrofilm$dHarvard University Microreproduction Dept.$w(DLC)sn 95032713$w(OCoLC)31855724","","$tGay community newsletter","$aCSt$aCU-I$aCU-Riv$aDGW$aDeU$aIU$aInU$aMCM$aMMeT$aMH-KG$aMiEM$aMnU$aMoU$aNIC$aNNC$aNdU$aNjP$aOU$aOrU$aPU$aRPB$aVtMiM$aWU$aWaU","","",""
"323","6/12/2019 12:41:06 PM","5/22/1999 10:04:22 PM","","Gay life.","","","","","","","","","","","","852"," "," ","","","00703cas a2200229   4500","542801","19990522220422.0","","780427d19771979paumr p       0uuua0eng d","","","","","","","","","","","","","","","","","","","$aHQ76.5$b.P64","","","","","$aPIT$bPITX$v1-31$y1977-1979","$a(OCoLC)03831941$9ACV1515C1","","","","","","","","$aPIT$cPIT","$tOut$w(OCoLC)5737007","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aGay life.","","$aPittsburgh,$bGNC.","","","","","$a 30 no.$bill.$c22 cm.","","","","","","","","","$ano. 2-31; Mar. 1977-Oct. 1979.","","","","","","","","","$aHomosexuality$zPennsylvania$zPittsburgh$xPeriodicals.$aLesbianism$zPennsylvania$zPittsburgh$xPeriodicals.$aGay liberation movement$xPeriodicals.","","","","","","","","$tPittsburgh's gay life$gFeb. 1977","","","",""
"324","6/12/2019 12:41:06 PM","5/22/1999 10:04:22 PM","","Gay life.","1971","","","","","","","","","","","852"," "," ","","","00867cas a2200265   4500","548396","19990522220422.0","","810319d197u1981paumr pe      0uuu 0eng d","","","","","","","","","","","","","","","","","","","$aHQ76.5$b.G3","","","","","$aPIT$bPITX$v47-$y1981-","$a(OCoLC)07239543$9ACV8800C1","","","","","","","","$aPIT$cPIT","$tOut and about$w(OCoLC)7760230","","","","","","$tOut$w(OCoLC)5737007","","","","","","","","","","","","","$aGay life (Out Publishing Co.)","","","","","","","","","$aGay life.","","$aPittsburgh :$bOut Publishing Co.,$c197 -1981.","","","","","$a v. :$bill. ;$c36 x 28 cm.","","","","","","","","","$a      -no. 51 (June 1981).","$aDescription based on: Feb., 1981.","","","","","$aIssued as a supplement to: Out.","","","$aHomosexuality$zPennsylvania$zPittsburgh$xPeriodicals.$aLesbianism$zPennsylvania$zPittsburgh$xPeriodicals.$aGay liberation movement$xPeriodicals.","","","","","","","","","","","",""
"325","6/12/2019 12:41:06 PM","5/22/1999 10:04:22 PM","","Gay news.","","","","","","","","","","","","852"," "," ","","","00783cas a2200241   4500","542021","19990522220422.0","","771222d19731973paumr p       0uuua0eng d","","","","","","","","","","","","","","","","","","","$aHQ76.5$b.G39","","","","","$aPIT$bPITX$v3$y1973","$a(OCoLC)03509532$9ACV0410C1","","","","","","$aGay Alternatives Pittsburgh.","","$aPIT$cPIT","$tPittsburgh gay news$w(OCoLC)3010045","","","","","","","","","","","","","","","","","","","","","","","","","","","","$aGay news.","","$aPittsburgh,$bGay Alternatives Pittsburgh.","","","","","$bill.$c28 cm.","","","","","","","","","$a no.3; June [1973]","","","","","","","","","$aHomosexuality$zPennsylvania$zPittsburgh$xPeriodicals.$aLesbianism$zPennsylvania$zPittsburgh$xPeriodicals.$aGay liberation movement$xPeriodicals.","","","","","","","","$aGay alternatives Pittsburgh.$tNewsletter$w(OCoLC)3510023","","","",""
