titleInfo/0/title,titleInfo/1/title,titleInfo/1/_type,typeOfResource,genre/0/_authority,genre/0/__text,originInfo/place/0/placeTerm/_type,originInfo/place/0/placeTerm/_authority,originInfo/place/0/placeTerm/__text,originInfo/place/1/placeTerm/_type,originInfo/place/1/placeTerm/__text,originInfo/publisher,originInfo/dateIssued/0,originInfo/dateIssued/1/_encoding,originInfo/dateIssued/1/_point,originInfo/dateIssued/1/__text,originInfo/dateIssued/2/_encoding,originInfo/dateIssued/2/_point,originInfo/dateIssued/2/__text,originInfo/issuance,originInfo/frequency/0/_authority,originInfo/frequency/0/__text,language/languageTerm/_authority,language/languageTerm/_type,language/languageTerm/__text,physicalDescription/form/0/_authority,physicalDescription/form/0/__text,physicalDescription/extent,note/0/_type,note/0/__text,note/1,subject/0/name/0/namePart/0,subject/0/name/0/_type,subject/0/genre/0,subject/0/_authority,recordInfo/descriptionStandard/0,recordInfo/recordCreationDate/_encoding,recordInfo/recordCreationDate/__text,recordInfo/recordChangeDate/_encoding,recordInfo/recordChangeDate/__text,recordInfo/recordIdentifier,recordInfo/recordOrigin,_version,name/0/namePart/0,name/0/namePart/1,name/0/_type,originInfo/dateIssued/0/_encoding,originInfo/dateIssued/0/_point,originInfo/dateIssued/0/__text,subject/0/topic/0,subject/0/topic/1,subject/0/geographic/0,subject/1/topic/0,subject/1/topic/1,subject/1/geographic/0,subject/1/_authority,location/0/physicalLocation,identifier/0/_type,identifier/0/__text,recordInfo/recordContentSource/_authority,recordInfo/recordContentSource/__text,titleInfo/1/subTitle,titleInfo/2/title,titleInfo/2/_type,titleInfo/3/title,titleInfo/3/_type,originInfo/frequency/0,originInfo/frequency/1/_authority,originInfo/frequency/1/__text,note/2/_type,note/2/__text,note/3,subject/0/geographicCode/_authority,subject/0/geographicCode/__text,subject/2/topic/0,subject/2/topic/1,subject/2/geographic/0,subject/2/_authority,classification/0/_authority,classification/0/__text,relatedItem/0/titleInfo/0/title,relatedItem/0/part/detail/number,relatedItem/0/part/detail/_type,relatedItem/0/_type,relatedItem/1/titleInfo/0/title,relatedItem/1/part/detail/number,relatedItem/1/part/detail/_type,relatedItem/1/_type,relatedItem/2/titleInfo/0/title,relatedItem/2/part/detail/number,relatedItem/2/part/detail/_type,relatedItem/2/_type,relatedItem/3/titleInfo/0/title,relatedItem/3/identifier/0/_type,relatedItem/3/identifier/0/__text,relatedItem/3/identifier/1/_type,relatedItem/3/identifier/1/__text,relatedItem/3/_type,relatedItem/4/titleInfo/0/title,relatedItem/4/identifier/0/_type,relatedItem/4/identifier/0/__text,relatedItem/4/identifier/1/_type,relatedItem/4/identifier/1/__text,relatedItem/4/identifier/2/_type,relatedItem/4/identifier/2/__text,relatedItem/4/_type,relatedItem/5/titleInfo/0/title,relatedItem/5/identifier/0/_type,relatedItem/5/identifier/0/__text,relatedItem/5/identifier/1/_type,relatedItem/5/identifier/1/__text,relatedItem/5/_type,identifier/1/_type,identifier/1/__text,identifier/2/_type,identifier/2/__text,subject/3/topic/0,subject/3/topic/1,subject/3/_authority,relatedItem/0/identifier/0/_type,relatedItem/0/identifier/0/__text,relatedItem/0/identifier/1/_type,relatedItem/0/identifier/1/__text,relatedItem/0/identifier/2/_type,relatedItem/0/identifier/2/__text,identifier/0/_invalid,name/1/namePart/0,name/1/_type,name/2/namePart/0,name/2/_type,originInfo/frequency/1,originInfo/frequency/2/_authority,originInfo/frequency/2/__text,subject/1/topic/2,subject/2/topic/2,classification/1/_authority,classification/1/__text,name/3/namePart/0,name/3/_type,name/4/namePart/0,name/4/_type,name/5/namePart/0,name/5/_type,genre/1/_authority,genre/1/__text,genre/2/_authority,genre/2/__text,genre/3/_authority,genre/3/__text,genre/4/_authority,genre/4/__text,physicalDescription/form/1/_authority,physicalDescription/form/1/__text,physicalDescription/form/2/_authority,physicalDescription/form/2/__text,physicalDescription/form/3/_authority,physicalDescription/form/3/__text,physicalDescription/form/4/_type,physicalDescription/form/4/_authority,physicalDescription/form/4/__text,physicalDescription/form/5/_type,physicalDescription/form/5/_authority,physicalDescription/form/5/__text,note/2,note/3/_type,note/3/__text,note/4,subject/1/genre/0,subject/2/genre/0,subject/4/topic/0,subject/4/topic/1,subject/4/_authority,subject/5/topic/0,subject/5/_authority,subject/6/topic/0,classification/1/_edition,location/0/url/_displayLabel,location/0/url/_usage,location/0/url/_note,location/0/url/__text,location/1/url/_displayLabel,location/1/url/_note,location/1/url/__text,location/2/url/_displayLabel,location/2/url/_note,location/2/url/__text,location/3/url/_displayLabel,location/3/url/_note,location/3/url/__text,location/4/url/_displayLabel,location/4/url/_note,location/4/url/__text,location/5/url/_displayLabel,location/5/url/_note,location/5/url/__text,location/6/url/_displayLabel,location/6/url/_note,location/6/url/__text,relatedItem/0/_displayLabel,identifier/1/_invalid,recordInfo/descriptionStandard/1,recordInfo/languageOfCataloging/languageTerm/_authority,recordInfo/languageOfCataloging/languageTerm/_type,recordInfo/languageOfCataloging/languageTerm/__text,titleInfo/0/nonSort,subject/5/topic/1,subject/5/geographic/0,note/1/_type,note/1/__text,subject/0/geographic/1,subject/1/hierarchicalGeographic/country,subject/1/hierarchicalGeographic/state,subject/1/hierarchicalGeographic/city,titleInfo/0/subTitle,location/1/physicalLocation,relatedItem/1/identifier/0/_type,relatedItem/1/identifier/0/__text,relatedItem/1/identifier/1/_type,relatedItem/1/identifier/1/__text,relatedItem/2/identifier/0/_type,relatedItem/2/identifier/0/__text,relatedItem/2/identifier/1/_type,relatedItem/2/identifier/1/__text
Alternatives,"Alternatives (Pittsburgh, Pa.)",uniform,text,marcgt,newspaper,code,marccountry,pau,text,"Pittsburgh, Pa",[s.n.],1968-1969,marc,start,1968,marc,end,1969,serial,marcfrequency,Completely irregular,iso639-2b,code,eng,marcform,print,1 v. : ill.; 28 cm.,date/sequential designation,"Issue 1 - 6  (Sept. 19, 1968 - June 2, 1969)",University of Pittsburgh student publication.,University of Pittsburgh,corporate,Periodicals,lcsh,aacr,marc,030318,iso8601,20030318103306.0,4121190,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health writes!,,,text,marcgt,periodical,code,marccountry,pau,text,"Pittsburgh, Pa","Pgh. Chapter, Medical Committee for Human     Rights.",,marc,end,9999,,,,serial,marcfrequency,Unknown,iso639-2b,code,eng,marcform,print,v. ill. 28 cm.,date/sequential designation,no. 1-          Sept. 1972-,,,,,lcsh,,marc,760224,iso8601,19990522220422.0,530809,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,Medical Committee for Human Rights,Pittsburgh Chapter.,corporate,marc,start,1972,Medical care,Periodicals,"Pittsburgh, Pa",Medical care,Periodicals,United States,lcsh,PIT PITX,oclc,02009618,marcorg,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issues in radical therapy,Issues radic. ther,abbreviated,text,marcgt,periodical,code,marccountry,ilu,text,"Springfield, Ill","Cooperative Power, Inc.]",1982-1988,marc,start,1982,marc,end,1988,serial,,,iso639-2b,code,eng,marcform,print,4 v. : ill. ; 28 cm.,date/sequential designation,"Vol. 10, no. 1 (spring 1982)-v. 13, nos. 3 & 4 (summer/fall 1988).",Title from cover.,,,,,aacr,marc,820823,iso8601,19990522220422.0,550649,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,Social problems,Periodicals,,lcsh,,issn,0886-0629,marcorg,PIT,(1982),IRT <1985->,alternative,"Issues in radical therapy (Springfield, Ill. : 1982)",uniform,Four no. a year,marcfrequency,Quarterly,additional physical form,Issued also in microform by University Microfilms.,"Formed by the union of: Issues in cooperation & power, and: State and mind.",marcgac,n-us---,Radicalism,Periodicals,United States,lcsh,lcc,HN1 .I8,Alternative press index,,part,isReferencedBy,Psychology abstracts,,part,isReferencedBy,Psychology information,,part,isReferencedBy,Issues in cooperation & power,issn,0199-8242,local,(OCoLC)6189948,preceding,State and mind,issn,0161-1089,local,(DLC)   76647104,local,(OCoLC)2386065,preceding,New studies on the left,local,(DLC)sn 90035002,local,(OCoLC)21076142,succeeding,lccn,83001546,oclc,08711276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New studies on the left,Studies on the left,alternative,text,marcgt,periodical,code,marccountry,cou,text,"Boulder, CO",Saxifrage Publications Group,c1989-,marc,start,1989,marc,end,9999,serial,,,iso639-2b,code,eng,marcform,print,v. : ill. ; 28 cm.,date/sequential designation,"Vol. 14, no.1 & 2 (spring-summer 1989)-",Title from cover.,,,,,aacr,marc,900216,iso8601,19990522225058.0,983566,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,Social problems,Periodicals,,lcsh,,issn,0086-0629,marcorg,CFS,,,,,,Four no. a year,marcfrequency,Quarterly,,,,marcgac,n-us---,Radicalism,Periodicals,,lcsh,lcc,HN1 .N4,"Issues in radical therapy (Springfield, Ill. : 1982)",,,preceding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lccn,90035002,oclc,21076142,New left,Periodicals,lcsh,issn,0886- 0629,local,(DLC)sc 83001546,local,(OCLC) 8711276,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical teacher,Radic. teach,abbreviated,text,marcgt,periodical,code,marccountry,mau,text,"Cambridge, MA","Boston Women's Teacher's Group, inc., etc.]",,marc,end,9999,,,,serial,,,iso639-2b,code,eng,marcform,print,v. ill. 28 cm.,date/sequential designation,v. 1-   Dec. 1975-,"Vols. for Dec. 1975-May 1978 issued by the Radical Caucus in English and the Modern Languages; Sept. 1978-<Dec. 1978> by Education in These Times, inc., <1983-> by Boston Women's Teacher's Group.",,,,lcsh,,marc,780603,iso8601,20121114185542.0,543035,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,Boston Women's Teacher's Group,,corporate,marc,start,1975,Teaching,Periodicals,,Radicalism,Study and teaching,,lcsh,PIT PITT,issn,0191-4847,marcorg,MYG,(Cambridge),,,,,"3 no. a year <, 1983->",,,,,,,,English philology,Study and teaching,,lcsh,lcc,L11 .R24,MLA international bibliography of books and articles on the modern languages and literatures (Complete edition),,part,isReferencedBy,Alternative press index,,part,isReferencedBy,,,,,,,,,,,,,,,,,,,,,,,,,lccn,79642767 //r83,oclc,03948551,,,,,,,,,,,"Education in These Times, Inc",corporate,Radical Caucus in English and the Modern Languages,corporate,"Quarterly, 1975-",marcfrequency,Three times a year,Periodicals,Periodicals,ddc,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical teacher,"Radical teacher (Cambridge, Mass.)",uniform,text,marcgt,periodical,code,marccountry,mau,text,"Cambridge, MA",Radical Teacher,1975-,marc,start,1975,marc,end,9999,serial,,,iso639-2b,code,eng,marcform,electronic,,date/sequential designation,"Vol. 1, no. 1 (Dec. 1975)-","Title from cover (JSTOR, viewed Oct. 20, 2010).",,,Periodicals,lcsh,aacr,marc,780603,iso8601,20190513112719.0,4187176,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,Boston Women's Teachers' Group,,corporate,,,,Teaching,,,Radicalism,Study and teaching,,lcsh,,issn,1941-0832,marcorg,AMH,,,,,,"Three issues per year, 1981-",,,,,,,,English philology,Study and teaching,,lcsh,lcc,NZ1 4311951,"Radical teacher (Cambridge, Mass.)",,,otherFormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,issn,0191-4847,,,English philology,Study and teaching,,issn,0191-4847,local,(DLC)   79642767,local,(OCoLC)3948551,,"Education in These Times, Inc",corporate,"Radical Caucus in English and the Modern Languages (Cambridge, Mass.)",corporate,"Quarterly, 1975-1980",marcfrequency,Three times a year,,,ddc,107,EBSCO Publishing (Firm),corporate,Project MUSE,corporate,Thomson Gale (Firm),corporate,rdacontent,text,,Periodicals.,,Periodicals.,,Electronic journals.,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,media,rdamedia,computer,carrier,rdacarrier,online resource,Imprint varies.,system details,Mode of access: World Wide Web.,"Vols. for Dec. 1975-March 1978 issued by the Radical Caucus in English and the Modern Languages; May 1978-March 1979 by Education in These Times, inc.; Dec. 1983-1998 by Boston Women's Teachers' Group.",Periodicals,Periodicals,Radicalism,Study and teaching,,Teaching,,Education,14,electronic resource,primary display,Pitt users please click through to access via JSTOR Arts & Sciences VIII: 12/01/1975 to 04/30/2013,http://pitt.idm.oclc.org/login?url=http://www.jstor.org/journal/radicalteacher,electronic resource,Pitt users please click through to access via Academic OneFile: 06/01/2001 to present,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/0JVP/AONE?sid=kbart?&u=upitt_main,electronic resource,Pitt users please click through to access via Business Insights: Global: 06/01/2001 to present,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/0JVP/BIG?sid=kbart?&u=upitt_main,electronic resource,Pitt users please click through to access via Academic Search Premier: 04/01/2003 to present,http://pitt.idm.oclc.org/login?url=https://search.ebscohost.com/direct.asp?db=aph&jid=H0Q&scope=site,electronic resource,Pitt users please click through to access via Project MUSE: 2008 to 2013,http://pitt.idm.oclc.org/login?url=https://muse.jhu.edu/journal/414,electronic resource,Pitt users please click through to access via Directory of Open Access Journals: 2013 to present,http://radicalteacher.library.pitt.edu,electronic resource,Pitt users please click through to access via Freely Accessible Social Science Journals: 2013 to present,http://radicalteacher.library.pitt.edu/ojs/index.php/radicalteacher/issue/archive,"Print version, 1975-2012:",yes,pn,iso639-2b,code,eng,,,,,,,,,,,,,,,,,,,
Radical therapist,,,text,,,code,marccountry,mau,text,"West Somerville, Mass. etc","Radical Therapist, inc.]",,marc,end,1972,,,,serial,marcfrequency,Unknown,iso639-2b,code,eng,marcform,print,ill. 45 cm.,date/sequential designation,"-v. 2, no. 5;   -Feb. 1972.",,,,,,,marc,760122,iso8601,20121114185518.0,531989,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,marc,start,19uu,,,,Social problems,Periodicals,,lcsh,PIT PITX,issn,0033-7641,marcorg,DLC,,,,,,,,,,,,marcgac,n-us---,Radical therapy,Periodicals,,lcsh,lcc,HN1 .R27,Rough times,,,succeeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lccn,75647445,oclc,02243722,Social psychology,Periodicals,lcsh,,,,,,,,,,,,,,,,,ddc,362/.042/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mental health,Periodicals,lcsh,Socialism,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,Periodicals,United States,,,,,,,,,,,,,,,,
RT,,,text,marcgt,newspaper,code,marccountry,xx,text,"West Somerville, Mass",Radical Therapist.,,marc,end,9999,,,,serial,marcfrequency,Unknown,iso639-2b,code,eng,marcform,microfilm,,date/sequential designation,Began publication May 1970.,,,,,lcsh,,marc,771227,iso8601,20070410094630.0,542053,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,marc,start,1970,Underground newspapers,,Massachusetts,,,,,,oclc,03519587,marcorg,KSU,,,,,,,,,,,,,,,,,,,,Bell and Howell Underground Press Collection,,,series,Radical therapist / rough times,,,preceding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reproduction,"Microfilm Wooster, Ohio Micro Photo Division, Bell & Howell.",West Somerville,United States,Massachusettes,West Somerville,,,,,,,,,,
RT,,,text,,,code,marccountry,mau,text,"West Somerville, Mass","Radical Therapist, inc.]",,marc,end,1976,,,,serial,marcfrequency,Unknown,iso639-2b,code,eng,marcform,print,2 v. ill. 44 cm.,date/sequential designation,"v. 4, no. 5-v. 5, no. 2; Dec. 1974-Apr./June 1976.",,,,,,,marc,760122,iso8601,20121114185518.0,531988,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,marc,start,1974,,,,Social problems,Periodicals,,lcsh,PIT PIT*,issn,0360-4713,marcorg,DLC,,,,,,,,,,,,marcgac,n-us---,Radicalism,Periodicals,,lcsh,lcc,HN1 .R27,Rough times,,,preceding,State and mind,,,succeeding,,,,,,,,,,,,,,,,,,,,,,,,,lccn,75647444,oclc,02243721,Social psychology,Periodicals,lcsh,,,,,,,,,,,,,,,,,ddc,362/.042/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mental health,Periodicals,lcsh,Socialism,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Periodicals,United States,,,,,,,a journal of radical therapy,PIT PITX,issn,0161-1089,,,,,,
Rough times,,,text,,,code,marccountry,mau,text,"West Somerville, Mass","Radical Therapist, inc.]",,marc,end,1974,,,,serial,marcfrequency,Unknown,iso639-2b,code,eng,marcform,print,ill. 44 cm.,date/sequential designation,"v. 2, no. 6-v. 4, no. 3; Apr. 1972-Sept. 1974.",,,,,,,marc,760122,iso8601,20121114185518.0,531987,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,marc,start,1972,,,,Social problems,Periodicals,,lcsh,PIT PITX,issn,0360-4705,marcorg,DLC,,,,,,,,,,,,marcgac,n-us---,Radicalism,Periodicals,,lcsh,lcc,HN1 .R27,Radical therapist,,,preceding,RT; a journal of radical therapy,,,succeeding,,,,,,,,,,,,,,,,,,,,,,,,,lccn,75647443,oclc,02243720,Social psychology,Periodicals,lcsh,,,,,,,,,,,,,,,,,ddc,362/.042/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mental health,Periodicals,lcsh,Socialism,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Periodicals,United States,,,,,,,,,,,,,,,,
State and mind,State mind,abbreviated,text,marcgt,periodical,code,marccountry,mau,text,"W. Somerville, Mass","RT, Inc.]",,marc,end,198u,,,,serial,,,iso639-2b,code,eng,marcform,print,v. ill. 44 cm.,date/sequential designation,"v. 5, no. 3-   July/Sept. 1976-","Merged with: Issues in cooperation & power, to become: Issues in radical therapy (Springfield, Ill. : 1982).",,,,,,marc,760820,iso8601,19990522220422.0,539060,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,marc,start,1976,,,,Social problems,Periodicals,,lcsh,PIT PIT*,issn,0161-1089,marcorg,PIT,,,,,,Eight nos. a year,marcfrequency,Bimonthly,,,,marcgac,n-us---,Radicalism,Periodicals,,lcsh,lcc,HN1 .R27,"RT, a journal of radical therapy",,,preceding,Issues in cooperation & power,,,succeeding,"Issues in radical therapy (Springfield, Ill. : 1982)",,,succeeding,,,,,,,,,,,,,,,,,,,,,lccn,76647104,oclc,02386065,Social psychology,Periodicals,lcsh,issn,0360-4713,,,,,,,,,,,,,,,ddc,362/.042/05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mental health,Periodicals,lcsh,Socialism,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Periodicals,United States,,,,,,,,PIT PITX,issn,0199-8242,local,(OCoLC)6189948,issn,0886-0629,local,(OCoLC)8711276
