titleInfo/0/title,name/namePart,name/_type,typeOfResource,genre/_authority,genre/__text,originInfo/place/0/placeTerm/_type,originInfo/place/0/placeTerm/_authority,originInfo/place/0/placeTerm/__text,originInfo/place/1/placeTerm/_type,originInfo/place/1/placeTerm/__text,originInfo/publisher,originInfo/dateIssued/0/_encoding,originInfo/dateIssued/0/_point,originInfo/dateIssued/0/__text,originInfo/dateIssued/1/_encoding,originInfo/dateIssued/1/_point,originInfo/dateIssued/1/__text,originInfo/issuance,originInfo/frequency/0/_authority,originInfo/frequency/0/__text,language/languageTerm/_authority,language/languageTerm/_type,language/languageTerm/__text,physicalDescription/form/0/_authority,physicalDescription/form/0/__text,physicalDescription/extent,note/0/_type,note/0/__text,note/1,location/physicalLocation,identifier/0/_type,identifier/0/__text,identifier/1/_type,identifier/1/__text,recordInfo/recordContentSource/_authority,recordInfo/recordContentSource/__text,recordInfo/recordCreationDate/_encoding,recordInfo/recordCreationDate/__text,recordInfo/recordChangeDate/_encoding,recordInfo/recordChangeDate/__text,recordInfo/recordIdentifier,recordInfo/recordOrigin,_version,titleInfo/0/subTitle,originInfo/dateIssued/0,originInfo/dateIssued/2/_encoding,originInfo/dateIssued/2/_point,originInfo/dateIssued/2/__text,originInfo/frequency/0,physicalDescription/form/1/_authority,physicalDescription/form/1/__text,physicalDescription/form/2/_authority,physicalDescription/form/2/__text,physicalDescription/form/3/_authority,physicalDescription/form/3/__text,physicalDescription/reformattingQuality,note/0,note/2/_type,note/2/__text,subject/0/topic/0,subject/0/genre,subject/0/_authority,location/url/_displayLabel,location/url/_usage,location/url/_note,location/url/__text,relatedItem/0/identifier/0/_type,relatedItem/0/identifier/0/__text,relatedItem/0/_type,relatedItem/1/titleInfo/0/title,relatedItem/1/_type,titleInfo/1/title,titleInfo/1/_type,titleInfo/2/title,titleInfo/2/_type,originInfo/frequency/1/_authority,originInfo/frequency/1/__text,note/2,note/3,note/4/_type,note/4/__text,note/5,recordInfo/descriptionStandard,subject/0/geographic/0,subject/0/geographic/1,relatedItem/0/titleInfo/0/title,note/1/_type,note/1/__text,subject/0/topic/1,subject/0/topic/2,subject/1/topic/0,subject/1/topic/1,subject/1/_authority,titleInfo/0/nonSort,subject/0/geographicCode/_authority,subject/0/geographicCode/__text,subject/2/topic/0,subject/2/topic/1,subject/2/geographic/0,subject/2/_authority,relatedItem/1/identifier/0/_type,relatedItem/1/identifier/0/__text,relatedItem/2/titleInfo/0/title,relatedItem/2/identifier/0/_type,relatedItem/2/identifier/0/__text,relatedItem/2/_type,identifier/0/_invalid,note/3/_type,note/3/__text,relatedItem/3/titleInfo/0/title,relatedItem/3/_type,classification/0/_authority,classification/0/__text,classification/1/_authority,classification/1/_edition,classification/1/__text,relatedItem/3/identifier/0/_type,relatedItem/3/identifier/0/__text,relatedItem/4/titleInfo/0/title,relatedItem/4/_type,identifier/2/_type,identifier/2/__text,name/_usage,note/0/_altRepGroup
Caw,Students for a Democratic Society (U.S.),corporate,text,marcgt,periodical,code,marccountry,nyu,text,New York,Students for a Democratic Society.,marc,start,1968,marc,end,1969,serial,marcfrequency,Bimonthly,iso639-2b,code,eng,marcform,print,1 v. ill. 26-41 cm.,date/sequential designation,No. 1-4; Feb. 1968-Jan. 1969.,"No.4, Jan. 1969, called Cuban supplement issued jointly by Caw and the Guardian.",PIT PITX,issn,0576-9698,oclc,02250794,marcorg,MUL,marc,760620,iso8601,19990522220422.0,532255,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caw!,Students for a Democratic Society (U.S.),corporate,text,marcgt,periodical,code,marccountry,nyu,text,"New York, N.Y",Students for a Democratic Society,,,,marc,start,1968,serial,,,iso639-2b,code,eng,marcform,electronic,1 online resource (4 v.) : ill. ; (26-41 cm.),,,"No. 3 ""devoted to the Battle of France 1968"".",,,,,,marcorg,VaAlASP,marc,760620,iso8601,20120903210627.0,6570774,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,magazine of Students for a Democratic Society,1968 -1969,marc,end,1969,Frequency varies,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,access,Description based on: No. 3 (fall issue 1968); title from cover.,reproduction,"Electronic reproduction. Alexandria, VA : Alexander Street Press, 2010. (Sixties). Available via World Wide Web.",Student movements,Periodicals,lcsh,electronic resource,primary display,Pitt users please click through to access via Alexander Street Press.,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003371417,local,(BGU)sn 95023473,otherFormat,Sixties,series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free you,"Midpeninsula Free University (Menlo Park, Calif.)",corporate,text,marcgt,periodical,code,marccountry,cau,text,"Menlo Park, CA",Midpeninsula Free University,marc,start,196u,marc,end,1971,serial,,,iso639-2b,code,eng,marcform,print,v. : ill. ; 28 cm.,date/sequential designation,"Ceased with Feb. 3, 1971 issue?",Imprint varies.,,issn,0016-0490,oclc,ocm12146667,marcorg,CUT,marc,850612,iso8601,20020320163557.0,3979020,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,Frequency varies,,,,,,,,,,,,,,,,,,,,,,,"Free you (Menlo Park, Calif.)",uniform,Human Institute newsletter,uniform,marcfrequency,Weekly,"""A forum and news medium of the Midpeninsula Free University.""","Description based on: Vol. 2, no. 20 (Dec. 1968).",numbering,"Vol. numbering dropped with July 15, 1970 issue.",Some issues have special supplement entitled: Human Institute newsletter.,aacr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free you,,,text,marcgt,newspaper,code,marccountry,ohu,text,Minneapolis,Minnesota Free University,,,,marc,start,196u,serial,marcfrequency,Unknown,iso639-2b,code,eng,marcform,microfilm,v. : ill.,reproduction,"Microfilm. -- Wooster, Ohio : Micro Photo Division, Bell & Howell [n.d.] -- microfilm reels. ; 35 mm. -- (Underground newspaper collection)",,,oclc,07414746,,,marcorg,AKR,marc,810513,iso8601,20070409150355.0,548749,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,196-,marc,end,9999,,,,,,,,,,,,Underground newspapers,,lcsh,,,,,,,series,,,,,,,,,,,,,,,Minnesota,Minneapolis,Underground newspaper collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson Station,,,text,marcgt,periodical,code,marccountry,pau,text,"State College, Pa",State College Free Press.,marc,start,1971,marc,end,9999,serial,marcfrequency,Unknown,iso639-2b,code,eng,marcform,print,,date/sequential designation,"no. 1-   July 15,1971-",,PIT PITX,oclc,02261865,,,marcorg,,marc,760620,iso8601,19990522220422.0,534719,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,additional physical form,Available on microfilm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUC newsletter,New University Conference (U.S.),corporate,text,marcgt,periodical,code,marccountry,ilu,text,Chicago,The Conference.,marc,start,1968,marc,end,9999,serial,marcfrequency,Monthly,iso639-2b,code,eng,marcform,print,v. ill. 28 cm.,date/sequential designation,"v. l (May 24, 1968)-","Description based on: v. 5, no. 1 (Sept. l97l).",PIT PITX,oclc,07604871,,,marcorg,OUN,marc,810722,iso8601,19990522220422.0,549166,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,Students,,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,Political activity,Periodicals,Student movements,Periodicals,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical teacher,New University Conference (U.S.),corporate,text,marcgt,periodical,code,marccountry,ilu,text,"Chicago, Ill.]",New University Conference,marc,start,196u,marc,end,9999,serial,marcfrequency,Completely irregular,iso639-2b,code,eng,marcform,print,v. : ill. ; 28 cm.,,,"Description based on: [2nd issue] (Dec. 30, 1969).",PIT PITX,oclc,09768293,,,marcorg,PIT,marc,830802,iso8601,19990522220422.0,551747,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,Caption title.,,,,,,,,,,,,,,,"Radical teacher (Chicago, Ill.)",uniform,,,,,,,,,,,,,,,,,,Teaching,Periodicals,lcsh,The,marcgac,n-us---,Radicalism,Periodicals,United States,lcsh,,,,,,,,,,,,,,,,,,,,,,,,
Fire!,Students for a Democratic Society (U.S.),corporate,text,marcgt,periodical,code,marccountry,ilu,text,"Chicago, Illinois",[Students for a Democratic Society],,,,marc,start,1969,serial,,,iso639-2b,code,eng,marcform,print,v. : ill. ; 45 cm.,date/sequential designation,"Vol. 1, no. 1 (Nov. 7, 1969)-",,PIT PITX,issn,0532-9299,oclc,01775564,marcorg,,marc,751101,iso8601,19990522220422.0,528477,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,"Nov. 7, 1969-   1969",marc,end,1969,Biweekly,,,,,,,,,,,,,,,,,,local,(OCoLC)8089379,otherFormat,New left notes (Students for a Democratic Society : 1966),preceding,SDS fire,alternative,"Fire (Chicago, Ill.)",uniform,marcfrequency,Biweekly,Masthead title.,,,,,,,,"Fire (Chicago, Ill.)",date/sequential designation,"Ceased with Vol. 1, no. 3 (Dec. 6, 1969)?",,,,,,,,,,,,,local,(OCoLC)7582787,New left notes (Students for a Democratic Society : 1970),local,(OCoLC),succeeding,,,,,,,,,,,,,,,,,,
(SDS) Fire,,,text,,,text,,S.l.],,,[s.n.],marc,start,uuuu,marc,end,uuuu,serial,,,,,,marcform,electronic,,,,,,issn,0532-9299,,,marcorg,WaSeSS,marc,170412,iso8601,20170815093130.0,8825616,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,,Title from content provider.,,,,,,electronic resource,primary display,Pitt users please click through to access via Independent Voices: 11/07/1969 to 12/06/1969,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHHFFGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
Fire!,Students for a Democratic Society (U.S.),corporate,text,marcgt,periodical,code,marccountry,ohu,text,"Chicago, Illinois",[Students for a Democratic Society],,,,marc,start,1969,serial,,,iso639-2b,code,eng,marcform,microfilm,v. : ill. ; 45 cm.,date/sequential designation,"Vol. 1, no. 1 (Nov. 7, 1969)-",,,oclc,08089379,,,marcorg,PIT,marc,820125,iso8601,20070409143943.0,549744,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,"Nov. 7, 1969-",marc,end,1969,Biweekly,gmd,microform,,,,,,,,,Underground newspapers,,lcsh,,,,,local,(OCoLC)1775564,otherFormat,New left notes (Students for a Democratic Society : 1966),preceding,SDS fire,alternative,"Fire (Chicago, Ill.)",uniform,marcfrequency,Unknown,Masthead title.,,,,,,Illinois,Chicago,"Fire (Chicago, Ill.)",date/sequential designation,"Ceased with Vol. 1, no. 3 (Dec. 6, 1969)?",,,,,,,,,,,,,local,(OCoLC)7582787,New left notes (Students for a Democratic Society : 1970),local,(OCoLC),succeeding,,reproduction,"Microfilm. Wooster, Ohio : Micro Photo Division, Bell & Howell. microfilm reels ; 35 mm. (Underground newspaper collection)",Underground newspaper collection,series,,,,,,,,,,,,,
New left notes,Students for a Democratic Society (U.S.),corporate,text,marcgt,periodical,code,marccountry,mau,text,"Boston, Mass",Students for a Democratic Society,,,,marc,start,1970,serial,marcfrequency,Biweekly,iso639-2b,code,eng,marcform,print,v. : ill. ; 45 cm.,,,"""Less talk, more action.""",,oclc,08089402,,,marcorg,PIT,marc,820125,iso8601,20070409143858.0,549745,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,1970-,marc,end,9999,,,,,,,,,"Description based on: Vol. 5, no. 9 (Jan. 10, 1970).",,,Underground press publications,,lcsh,,,,,local,(OCoLC)1775564,preceding,,,SDS new left notes,alternative,New left notes (Students for a Democratic Society : 1970),uniform,,,,,,,,,Illinois,Chicago,"Fire (Chicago, Ill.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New left notes,Students for a Democratic Society (U.S.),corporate,text,marcgt,newspaper,code,marccountry,ohu,text,"Chicago, Illinois",Students for a Democratic Society,,,,marc,start,1966,serial,,,iso639-2b,code,eng,marcform,microfilm,: ill. ; 43 cm.,date/sequential designation,"Began with Jan. 21, 1966 New serial titles, 1966/67.",,,issn,0548-5908,oclc,07582787,marcorg,AKR,marc,810714,iso8601,20070409143839.0,549120,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,1966-1969,marc,end,1969,Weekly,gmd,microform,,,,,,,,,Underground newspapers,,lcsh,,,,,local,(OCoLC)1759881,otherFormat,"Fire(Chicago,Ill.)",succeeding,SDS new left notes,alternative,New left notes (Students for a Democratic Society : 1966),uniform,marcfrequency,Unknown,"Description based on: Vol. 1, no. 2 (Jan. 28, 1966).","""All power to the people.""",reproduction,"Microfilm. Wooster, Ohio : Micro Photo Division, Bell & Howell. microfilm reels ; 35 mm. (Underground newspaper collection)",Supplements accompany some issues.,,Illinois,Chicago,New left notes (Students for a Democratic Society : 1966),date/sequential designation,"Ceased with Vol. 5, no. 5 (Nov. 1, 1969)?",,,,,,,,,,,,,local,(OCoLC)8089379,Underground newspaper collection,,,series,,,,,,,,,,,,,,,,,,
SDS new left notes,Students for a Democratic Society (U.S.),corporate,text,marcgt,periodical,code,marccountry,ilu,text,Chicago,Students for a Democratic Society,,,,marc,start,1966,serial,,,iso639-2b,code,eng,marcform,electronic,1 online resource ([4] p. : ill. ; 43 cm.),,,,,,,,,marcorg,VaAlASP,marc,880718,iso8601,20120903210631.0,6570893,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,1966-1969,marc,end,1969,Weekly,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,access,"Description based on: Vol. 4, no. 9.",,,,,,electronic resource,primary display,Pitt users please click through to access via Alexander Street Press.,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003371448,local,(MiU)sn 87065724,otherFormat,,otherFormat,New left notes,alternative,S.D.S. new left notes,alternative,marcfrequency,Weekly,,,,,,,,,,reproduction,"Electronic reproduction. Alexandria, VA : Alexander Street Press, 2010. (Sixties). Available via World Wide Web.",,,,,,,marcgac,n-us---,,,,,local,(RLIN)MIUG18785-S,,local,(CaOTULAS)160244648,otherFormat,,,,,otherFormat,lcc,LH1.A2 S73,ddc,20,322/.4,local,(OCoLC)243882722,Sixties,series,,,,
SDS new left notes,Students for a Democratic Society (U.S.),corporate,text,marcgt,newspaper,code,marccountry,ilu,text,"Chicago, Illinois",Students for a Democratic Society.,marc,start,1966,marc,end,19uu,serial,marcfrequency,Weekly,iso639-2b,code,eng,marcform,print,v. ill. 43 cm.,date/sequential designation,"Began with Jan. 21, 1966 issue. New serial titles, 1966/67.",Supplements accompany some issues.,PIT PITX,issn,0548-5908,lccn,77009820,marcorg,DLC,marc,751101,iso8601,19990522220422.0,526488,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,,,,,,,,local,(OCoLC)1775564,succeeding,,,New left notes,alternative,,,,,,,,,,,,,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,lcc,LH1.A2 S73,ddc,,322/.4,,,,,oclc,01759881,,
(SDS) New Left Notes,,,text,,,text,,S.l.],,,[s.n.],marc,start,uuuu,marc,end,uuuu,serial,,,,,,marcform,electronic,,,,,,issn,0548-5908,,,marcorg,WaSeSS,marc,170412,iso8601,20170815093130.0,8825618,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,,Title from content provider.,,,,,,electronic resource,primary display,Pitt users please click through to access via Independent Voices: 01/21/1966 to 10/21/1969,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BHFJIIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
(SDS) New Left Notes,,,text,,,text,,S.l.],,,[s.n.],marc,start,uuuu,marc,end,uuuu,serial,,,,,,marcform,electronic,,,,,,,,,,marcorg,WaSeSS,marc,170412,iso8601,20170815093130.0,8825617,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,,Title from content provider.,,,,,,electronic resource,primary display,Pitt users please click through to access via Independent Voices: 06/30/1969 to 03/31/1974,http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=IAIJEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNCC newsletter,Student Nonviolent Coordinating Committee (U.S.),corporate,text,,,code,marccountry,gau,text,"Atlanta, Ga",Student Nonviolent Coordinating Committee.,marc,start,1967,marc,end,9999,serial,marcfrequency,Unknown,iso639-2b,code,eng,marcform,print,,,,,PIT PITX,oclc,02267758,,,marcorg,,marc,760620,iso8601,19990522220422.0,537667,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newsletter,alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Water Tunnel, Vol. 1 no. 1, March 10, 1969","Youngberg, ed. by Alvan.",personal,text,marcgt,government publication,text,,S.l.],,,State College Free Press,,,,,,,monographic,,,,,,marcform,electronic,,statement of responsibility,ed. by Alvan Youngberg.,Title from content provider.,,,,,,marcorg,WaSeSS,marc,180213,iso8601,20190215074653.0,9147738,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,1969,,,,,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,,,,,,,,electronic resource,primary display,Pitt users please click through to access via Sixties: Primary Documents and Personal Narratives 1960 - 1974,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003702251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,00
"Water Tunnel, Vol. 4 no. 3, October 26, 1970","Youngberg, ed. by Alvan.",personal,text,marcgt,government publication,text,,S.l.],,,State College Free Press,,,,,,,monographic,,,,,,marcform,electronic,,statement of responsibility,ed. by Alvan Youngberg.,Title from content provider.,,,,,,marcorg,WaSeSS,marc,180213,iso8601,20190215074654.0,9147739,"Converted from MARCXML to MODS version 3.5 using MARC21slim2MODS3-5.xsl
				(Revision 1.107 2016/1/7)",3.5,,1970,,,,,gmd,electronic resource,marccategory,electronic resource,marcsmd,remote,,,,,,,,electronic resource,primary display,Pitt users please click through to access via Sixties: Primary Documents and Personal Narratives 1960 - 1974,http://pitt.idm.oclc.org/login?url=http://www.aspresolver.com/aspresolver.asp?SIXT;1003702252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary,00
